"index","school_name","borough","building_code","average_math","average_reading","average_writing","percent_tested","total_SAT"
"49","Fiorello H. LaGuardia High School of Music and Art and Performing Arts","Manhattan","M485","592","592","597","88.5","1781"
"50","High School of Arts and Technology","Manhattan","M490","421","428","406","44.4","1255"
"51","Manhattan / Hunter Science High School","Manhattan","M490","581","531","535","97.2","1647"
"52","High School for Law, Advocacy, and Community Justice","Manhattan","M490","415","417","402","60.5","1234"
"53","Urban Assembly School for Green Careers","Manhattan","M470","393","371","378","60","1142"
"54","Frank McCourt High School","Manhattan","M470","489","491","500","89.1","1480"
"55","Global Learning Collaborative","Manhattan","M470","406","407","413","59.4","1226"
"56","Wadleigh Secondary School for the Performing and Visual Arts","Manhattan","M088","381","401","392","52.6","1174"
"57","Frederick Douglass Academy II Secondary School","Manhattan","M088","390","384","373","","1147"
"58","Columbia Secondary School","Manhattan","M125","583","561","546","88.2","1690"
"59","Academy for Social Action (College Board)","Manhattan","M043","357","349","365","54","1071"
"60","Urban Assembly School for the Performing Arts","Manhattan","M043","379","399","388","76.7","1166"
"61","Heritage School","Manhattan","M107","385","380","370","56.8","1135"
"62","Central Park East High School","Manhattan","M013","483","468","439","97.9","1390"
"63","Park East High School","Manhattan","M495","429","433","435","89.6","1297"
"64","Young Women's Leadership School","Manhattan","M895","478","465","472","100","1415"
"65","Manhattan Center for Science and Mathematics","Manhattan","M435","556","505","495","87.6","1556"
"66","Mott Hall High School","Manhattan","M136","416","445","440","36.9","1301"
"67","Thurgood Marshall Academy for Learning and Social Change","Manhattan","M970","402","394","400","84.7","1196"
"68","High School for Mathematics, Science, and Engineering at City College","Manhattan","M812","683","610","596","92.6","1889"
"69","A. Philip Randolph Campus High School","Manhattan","M540","459","453","447","74","1359"
"70","Gregorio Luperon High School for Science and Mathematics","Manhattan","M876","383","355","352","71","1090"
"71","Community Health Academy of the Heights","Manhattan","M814","387","389","385","55.3","1161"
"72","Washington Heights Expeditionary Learning School","Manhattan","M143","443","423","434","87","1300"
"73","Coalition School for Social Change","Manhattan","M045","344","368","367","40.5","1079"
"74","Repertory Company High School for Theatre Arts","Manhattan","M896","425","451","458","89.5","1334"
"75","Professional Performing Arts High School","Manhattan","M017","496","520","516","72.2","1532"
"76","Jacqueline Kennedy Onassis High School","Manhattan","M486","418","422","415","","1255"
"77","Murry Bergtraum High School for Business Careers","Manhattan","M520","418","415","398","44.3","1231"
"78","Frederick Douglass Academy","Manhattan","M010","463","452","450","65.1","1365"
"79","High School for Media and Communications","Manhattan","M465","378","381","383","33","1142"
"80","College Academy","Manhattan","M465","367","377","363","41.9","1107"
"81","High School for Law and Public Service","Manhattan","M465","401","394","381","44.1","1176"
"82","City College Academy of the Arts","Manhattan","M218","495","445","450","95.3","1390"
"83","High School for Health Careers and Sciences","Manhattan","M465","374","385","389","56.2","1148"
"84","Manhattan International High School","Manhattan","M480","438","358","382","58.6","1178"
"85","Talent Unlimited High School","Manhattan","M480","485","498","496","89.3","1479"
"86","Vanguard High School","Manhattan","M480","431","409","396","63.8","1236"
"87","Life Sciences Secondary School","Manhattan","M645","435","440","425","63","1300"
"88","Stuyvesant High School","Manhattan","M477","754","697","693","97.4","2144"
"89","Ralph R. McKee Career and Technical Education High School","Staten Island","R600","420","429","409","38","1258"
"90","Michael J. Petrides School","Staten Island","R880","483","473","470","79.2","1426"
"91","Curtis High School","Staten Island","R450","453","458","444","64.2","1355"
"92","Port Richmond High School","Staten Island","R445","432","427","425","44.6","1284"
"93","Staten Island Technical High School","Staten Island","R440","711","660","670","99.7","2041"
"94","New Dorp High School","Staten Island","R435","454","446","444","63.7","1344"
"95","Tottenville High School","Staten Island","R455","494","476","476","","1446"
"96","Susan E. Wagner High School","Staten Island","R460","496","490","487","66.3","1473"
"97","Gaynor McCown Expeditionary Learning School","Staten Island","R043","442","458","454","55.8","1354"
"98","CSI High School for International Studies","Staten Island","R043","477","468","464","83.5","1409"
"99","New Explorers High School","Bronx","X790","390","398","376","30.4","1164"
"100","Bronx School for Law, Government, and Justice","Bronx","X460","403","409","415","63.8","1227"
"101","Urban Assembly School for Careers in Sports","Bronx","X790","402","405","395","55.5","1202"
"102","Bronx Leadership Academy II High School","Bronx","X790","384","355","361","61.3","1100"
"103","Urban Assembly Bronx Academy of Letters","Bronx","X183","398","400","405","57.8","1203"
"104","Health Opportunities High School","Bronx","X884","374","386","382","57.9","1142"
"105","Community School for Social Justice","Bronx","X884","380","382","362","38.4","1124"
"106","Alfred E. Smith Career and Technical Education High School","Bronx","X600","390","373","371","29.8","1134"
"107","Academy for Language and Technology","Bronx","X082","371","334","348","78.9","1053"
"108","South Bronx Preparatory (College Board)","Bronx","X149","419","414","394","76.9","1227"
"109","International Community High School","Bronx","X139","345","338","312","58.2","995"
"110","Hostos-Lincoln Academy of Science","Bronx","X162","463","451","435","80","1349"
"111","University Heights Secondary School","Bronx","X470","420","446","424","87.8","1290"
"112","Mott Haven Village Preparatory High School","Bronx","X470","377","373","369","44.9","1119"
"113","High School for Violin and Dance","Bronx","X400","363","401","396","31.3","1160"
"114","Bronx International High School","Bronx","X400","355","330","320","","1005"
"115","Bronx Career and College Preparatory High School","Bronx","X158","370","379","381","40.7","1130"
"116","Bronx Center for Science and Mathematics","Bronx","X002","513","468","485","73.9","1466"
"117","Bronx Early College Academy for Teaching and Learning","Bronx","X166","424","413","409","93.3","1246"
"118","Eximius College Preparatory Academy (College Board)","Bronx","X002","400","391","397","78.2","1188"
"119","Bronx Latin","Bronx","X158","394","381","363","81","1138"
"120","School for Excellence","Bronx","X400","377","385","383","38.4","1145"
"121","Morris Academy for Collaborative Studies","Bronx","X400","407","389","386","44.8","1182"
"122","Frederick Douglass Academy III Secondary School","Bronx","X148","387","386","386","50.5","1159"
"123","Urban Assembly School for Applied Math and Science","Bronx","X970","445","418","422","87.8","1285"
"124","Bronx Collegiate Academy","Bronx","X410","395","401","382","45.5","1178"
"125","Mott Hall Bronx High School","Bronx","X970","417","399","398","46.2","1214"
"126","Bronx Leadership Academy High School","Bronx","X876","375","372","374","49.1","1121"
"127","Validus Preparatory Academy: An Expeditionary Learning School","Bronx","X970","382","375","384","59.2","1141"
"128","Bronx High School for Medical Science","Bronx","X410","431","421","426","83.9","1278"
"129","Eagle Academy for Young Men","Bronx","X465","398","410","397","65.7","1205"
"130","Bronx High School of Business","Bronx","X410","365","360","346","33.3","1071"
"131","DreamYard Preparatory School","Bronx","X410","385","385","388","51.1","1158"
"132","Theatre Arts Production Company School","Bronx","X137","402","421","410","77.7","1233"
"133","West Bronx Academy for the Future","Bronx","X435","404","383","378","","1165"
"134","Bronx High School for Law and Community Service","Bronx","X435","401","402","386","64.8","1189"
"135","Belmont Preparatory High School","Bronx","X435","413","408","402","55.3","1223"
"136","Fordham High School for the Arts","Bronx","X435","398","404","412","56.2","1214"
"137","Knowledge and Power Preparatory Academy International High School (KAPPA)","Bronx","X435","408","417","404","66.7","1229"
"138","Fordham Leadership Academy for Business and Technology","Bronx","X435","355","373","368","44.3","1096"
"139","Metropolitan High School","Bronx","X099","387","388","386","65.9","1161"
"140","Holcombe L. Rucker School of Community Research","Bronx","X039","376","372","369","59","1117"
"141","Banana Kelly High School","Bronx","X039","378","391","378","25.7","1147"
"142","Bronx Studio School for Writers and Artists","Bronx","X392","417","412","403","71.6","1232"
"143","Peace and Diversity Academy","Bronx","X099","366","362","365","27.1","1093"
"144","East Bronx Academy for the Future","Bronx","X973","418","406","408","41.1","1232"
"145","Bronx Envision Academy","Bronx","X098","364","385","366","76.5","1115"
"146","Fannie Lou Hamer Freedom High School","Bronx","X878","345","347","339","75","1031"
"147","Explorations Academy","Bronx","X098","377","372","365","43","1114"
"148","Urban Assembly School for Wildlife Conservation","Bronx","X067","393","397","379","71.1","1169"
"149","Wings Academy","Bronx","X879","379","372","373","49.2","1124"
"150","Renaissance High School for Musical Theater and Technology","Bronx","X405","390","411","393","52.3","1194"
"151","Herbert H. Lehman High School","Bronx","X405","426","419","407","28.9","1252"
"152","Bronx High School for the Visual Arts","Bronx","X839","408","428","404","","1240"
"153","In-Tech Academy","Bronx","X368","426","419","404","85.9","1249"
"154","Bronx School of Law and Finance","Bronx","X475","384","394","366","48.3","1144"
"155","Bronx Engineering and Technology Academy","Bronx","X475","394","406","391","59.6","1191"
"156","Bronx Theatre High School","Bronx","X475","382","384","390","66.7","1156"
"157","Marble Hill High School for International Studies","Bronx","X475","451","417","423","92.9","1291"
"158","Marie Curie School for Medicine, Nursing, and Health Professions","Bronx","X143","423","420","425","68.6","1268"
"159","Riverdale/Kingsbridge Academy","Bronx","X141","496","485","476","69.4","1457"
"160","New World High School","Bronx","X362","407","363","358","93","1128"
"161","Bronxwood Preparatory Academy","Bronx","X362","392","408","392","43.3","1192"
"162","Academy for Scholarship and Entrepreneurship (College Board)","Bronx","X362","392","408","400","63.4","1200"
"163","High School for Contemporary Arts","Bronx","X425","367","381","361","41","1109"
"164","Bronx Aerospace High School","Bronx","X425","403","410","393","50.5","1206"
"165","Bronx Academy of Health Careers","Bronx","X425","386","380","391","59.4","1157"
"166","High School of Computers and Technology","Bronx","X425","396","399","377","65.6","1172"
"167","Bronx Lab School","Bronx","X425","407","416","401","77.4","1224"
"168","Bronx High School for Writing and Communication Arts","Bronx","X425","380","437","425","38.1","1242"
"169","High School for Teaching and the Professions","Bronx","X430","372","361","369","46.5","1102"
"170","Bronx High School of Science","Bronx","X445","714","660","667","97","2041"
"171","Kingsbridge International High School","Bronx","X430","366","311","310","","987"
"172","Discovery High School","Bronx","X430","432","396","395","39.9","1223"
"173","Celia Cruz Bronx High School of Music","Bronx","X430","417","434","425","75.6","1276"
"174","High School of American Studies at Lehman College","Bronx","X905","669","672","672","91.8","2013"
"175","DeWitt Clinton High School","Bronx","X440","445","436","433","31.8","1314"
"176","International School for Liberal Arts","Bronx","X430","390","387","379","19.2","1156"
"177","Astor Collegiate Academy","Bronx","X415","422","417","409","57.9","1248"
"178","Pelham Preparatory Academy","Bronx","X415","420","433","425","77","1278"
"179","High School of Language and Innovation","Bronx","X415","356","340","320","72.7","1016"
"180","Collegiate Institute for Math and Science","Bronx","X415","488","461","458","79.8","1407"
"181","Bronxdale High School","Bronx","X415","418","432","436","72.5","1286"
"182","Pan American International High School at Monroe","Bronx","X420","317","315","292","65.6","924"
"183","Cinema School","Bronx","X423","430","449","448","88.3","1327"
"184","Monroe Academy for Visual Arts and Design","Bronx","X420","361","354","351","46.8","1066"
"185","Mott Hall V","Bronx","X423","430","422","414","77.5","1266"
"186","Metropolitan Soundview High School","Bronx","X420","444","428","422","52","1294"
"187","High School of World Cultures","Bronx","X420","356","359","347","38.2","1062"
"188","Millennium Art Academy","Bronx","X450","396","413","395","39.2","1204"
"189","Bronx Guild","Bronx","X450","365","393","357","41.3","1115"
"190","Archimedes Academy for Math, Science, and Technology Applications","Bronx","X174","418","430","403","","1251"
"191","Pablo Neruda Academy","Bronx","X450","394","384","383","44.2","1161"
"192","Women's Academy of Excellence","Bronx","X174","386","390","389","45.2","1165"
"193","Felisa Rincon de Gautier Institute for Law and Public Policy","Bronx","X972","389","408","413","31.3","1210"
"194","Antonia Pantoja Preparatory Academy (College Board)","Bronx","X450","435","415","423","44.9","1273"
"195","Bronx Health Sciences High School","Bronx","X455","407","421","427","87.1","1255"
"196","Harry S. Truman High School","Bronx","X455","400","401","391","41.5","1192"
"197","Queens Vocational and Technical High School","Queens","Q600","467","436","432","53.4","1335"
"198","High School of Applied Communication","Queens","Q735","435","437","441","70.9","1313"
"199","Middle College High School at LaGuardia Community College","Queens","Q520","377","389","377","48.7","1143"
"200","Academy for Careers in Television and Film","Queens","Q404","444","458","444","95","1346"
"201","Aviation Career and Technical Education High School","Queens","Q610","511","464","456","78.6","1431"
"202","Academy of American Studies","Queens","Q451","495","482","479","84.8","1456"
"203","Newcomers High School","Queens","Q450","490","374","381","47.1","1245"
"204","Bard High School Early College Queens","Queens","Q735","631","598","610","94.1","1839"
"205","International High School at LaGuardia Community College","Queens","Q520","425","367","365","71.7","1157"
"206","Information Technology High School","Queens","Q725","443","420","411","58.8","1274"
"207","Robert F. Wagner Jr. Secondary School for Arts and Technology","Queens","Q891","478","445","445","71.1","1368"
"208","Academy of Finance and Enterprise","Queens","Q735","489","456","459","92.7","1404"
"209","Young Women's Leadership School in Astoria","Queens","Q739","483","464","477","","1424"
"210","William Cullen Bryant High School","Queens","Q445","466","424","426","56.9","1316"
"211","Long Island City High School","Queens","Q452","430","423","412","51.6","1265"
"212","Frank Sinatra School of the Arts High School","Queens","Q570","536","543","543","89.5","1622"
"213","Baccalaureate School for Global Education","Queens","Q798","633","620","628","98.5","1881"
"214","Science Skills Center High School for Science, Technology, and the Creative Arts","Brooklyn","K805","399","397","386","65.9","1182"
"215","Brooklyn International High School","Brooklyn","K805","432","334","333","92.7","1099"
"216","School for International Studies","Brooklyn","K293","417","406","394","65.1","1217"
"217","Brooklyn School for Global Studies","Brooklyn","K293","393","381","402","61.8","1176"
"218","City Polytechnic High School of Engineering, Architecture, and Technology","Brooklyn","K580","503","477","427","18.5","1407"
"219","Urban Assembly Institute of Math and Science for Young Women","Brooklyn","K313","397","415","407","82.4","1219"
"220","Urban Assembly School for Law and Justice","Brooklyn","K313","446","443","430","87.6","1319"
"221","Cobble Hill School of American Studies","Brooklyn","K804","416","420","402","55.3","1238"
"222","George Westinghouse Career and Technical Education High School","Brooklyn","K580","394","422","400","45.3","1216"
"223","Urban Assembly High School of Music and Art","Brooklyn","K805","372","372","361","55.1","1105"
"224","Cultural Academy for the Arts and Sciences","Brooklyn","K415","382","395","384","57.3","1161"
"225","Kurt Hahn Expeditionary Learning School","Brooklyn","K415","378","394","388","72.6","1160"
"226","School for Human Rights","Brooklyn","K470","398","411","400","60.8","1209"
"227","It Takes a Village Academy","Brooklyn","K415","364","374","361","62.2","1099"
"228","High School for Public Service: Heroes of Tomorrow","Brooklyn","K470","468","454","464","","1386"
"229","Arts and Media Preparatory Academy","Brooklyn","K232","370","383","374","64.2","1127"
"230","School for Democracy and Leadership","Brooklyn","K470","386","385","390","53.5","1161"
"231","Urban Assembly School for Criminal Justice","Brooklyn","K223","428","413","417","83.6","1258"
"232","Franklin Delano Roosevelt High School","Brooklyn","K505","504","411","407","54","1322"
"233","Brooklyn Community High School of Communication, Arts, and Media","Brooklyn","K117","358","386","380","51.7","1124"
"234","Dr. Susan S. McKinney Secondary School of the Arts","Brooklyn","K265","332","346","350","55.1","1028"
"235","Benjamin Banneker Academy","Brooklyn","K914","479","484","472","85.5","1435"
"236","Juan Morel Campos Secondary School","Brooklyn","K071","366","356","353","56.3","1075"
"237","Brooklyn Latin School","Brooklyn","K049","625","588","591","97.5","1804"
"238","Green School: An Academy for Environmental Careers","Brooklyn","K049","384","398","399","41.1","1181"
"239","Lyons Community School","Brooklyn","K049","374","376","357","56.3","1107"
"240","World Academy for Total Community Health High School","Brooklyn","K435","380","389","384","40.9","1153"
"241","FDNY High School for Fire and Life Safety","Brooklyn","K435","365","369","357","47.7","1091"
"242","W. H. Maxwell Career and Technical Education High School","Brooklyn","K660","326","333","350","38.5","1009"
"243","High School for Civil Rights","Brooklyn","K435","391","373","376","26.4","1140"
"244","Performing Arts and Technology High School","Brooklyn","K435","375","393","394","39.8","1162"
"245","East New York Family Academy","Brooklyn","K819","464","451","421","66.7","1336"
"246","Brooklyn Lab School","Brooklyn","K420","383","376","370","46.8","1129"
"247","Multicultural High School","Brooklyn","K420","319","323","284","","926"
"248","School for Classics: An Academy of Thinkers, Writers, and Performers","Brooklyn","K218","387","391","383","52.8","1161"
"249","Transit Tech Career and Technical Education High School","Brooklyn","K615","387","387","384","37.2","1158"
"250","Cypress Hills Collegiate Preparatory School","Brooklyn","K420","365","370","362","53.8","1097"
"251","Academy for Young Writers","Brooklyn","K422","382","413","391","81.2","1186"
"252","Academy of Innovative Technology","Brooklyn","K420","395","376","359","57.4","1130"
"253","Fort Hamilton High School","Brooklyn","K490","513","456","451","68.7","1420"
"254","Midwood High School","Brooklyn","K405","550","514","516","85.7","1580"
"255","PROGRESS High School for Professional Careers","Brooklyn","K450","380","377","384","44.9","1141"
"256","High School for Enterprise, Business, and Technology","Brooklyn","K450","463","446","425","54.5","1334"
"257","Brooklyn Preparatory High School","Brooklyn","K650","391","406","391","74.5","1188"
"258","El Puente Academy for Peace and Justice","Brooklyn","K778","344","380","379","62.5","1103"
"259","School for Legal Studies","Brooklyn","K450","393","390","394","34.8","1177"
"260","Williamsburg Preparatory School","Brooklyn","K650","443","440","430","87.8","1313"
"261","Williamsburg High School for Architecture and Design","Brooklyn","K650","415","424","407","60.1","1246"
"262","Frederick Douglass Academy VII High School","Brooklyn","K175","400","407","394","65.4","1201"
"263","Teachers Preparatory High School","Brooklyn","K175","394","399","412","56.6","1205"
"264","Pathways in Technology Early College High School","Brooklyn","K625","446","442","410","69.4","1298"
"265","Academy for Health Careers","Brooklyn","K625","406","405","396","48.1","1207"
"266","Boys and Girls High School","Brooklyn","K455","399","392","394","","1185"
"267","High School of Sports Management","Brooklyn","K400","367","374","361","56.2","1102"
"268","Brooklyn Studio Secondary School","Brooklyn","K721","458","434","434","67.8","1326"
"269","International High School at Lafayette","Brooklyn","K400","424","343","337","84.3","1104"
"270","Expeditionary Learning School for Community Leaders","Brooklyn","K400","420","396","396","75","1212"
"271","New Utrecht High School","Brooklyn","K445","488","422","417","63.2","1327"
"272","Life Academy High School for Film and Music","Brooklyn","K400","369","379","378","70.2","1126"
"273","Kingsborough Early College School","Brooklyn","K400","474","462","449","65.8","1385"
"274","Secondary School for Journalism","Brooklyn","K460","408","435","415","58.8","1258"
"275","Millennium Brooklyn High School","Brooklyn","K460","553","551","539","79.6","1643"
"276","Park Slope Collegiate","Brooklyn","K460","405","377","395","59.6","1177"
"277","Secondary School for Law","Brooklyn","K460","420","424","414","74.7","1258"
"278","Bedford Academy High School","Brooklyn","K994","505","464","456","96.2","1425"
"279","Brooklyn High School of the Arts","Brooklyn","K655","439","441","436","80.6","1316"
"280","Brooklyn Technical High School","Brooklyn","K430","682","608","606","95.5","1896"
"281","Brooklyn College Academy","Brooklyn","K917","502","495","493","98.1","1490"
"282","High School of Telecommunication Arts and Technology","Brooklyn","K485","475","440","445","81.6","1360"
"283","EBC High School for Public Service in Bushwick","Brooklyn","K913","389","374","378","50","1141"
"284","Brooklyn High School for Law and Technology","Brooklyn","K987","395","401","383","62.7","1179"
"285","Brooklyn Academy of Global Finance","Brooklyn","K057","395","382","391","","1168"
"286","Bushwick Leaders High School for Academic Excellence","Brooklyn","K865","393","368","382","46.8","1143"
"287","Automotive High School","Brooklyn","K610","367","381","328","31.6","1076"
"288","Frances Perkins Academy","Brooklyn","K610","399","413","400","46.3","1212"
"289","John Dewey High School","Brooklyn","K540","512","418","396","62.7","1326"
"290","Rachel Carson High School for Coastal Studies","Brooklyn","K303","436","430","421","68.4","1287"
"291","Brooklyn School for Music and Theatre","Brooklyn","K440","382","393","377","72.2","1152"
"292","Brooklyn Academy of Science and the Environment","Brooklyn","K440","419","411","416","58.5","1246"
"293","Medgar Evers College Preparatory School","Brooklyn","K590","525","500","481","89","1506"
"294","Clara Barton High School","Brooklyn","K600","408","424","407","55","1239"
"295","International High School at Prospect Heights","Brooklyn","K440","344","302","300","81.7","946"
"296","High School for Global Citizenship","Brooklyn","K440","377","386","375","61.9","1138"
"297","Science, Technology, and Research Early College High School at Erasmus","Brooklyn","K465","496","491","484","91.5","1471"
"298","Academy for College Preparation and Career Exploration (College Board)","Brooklyn","K465","386","397","393","57.3","1176"
"299","High School for Youth and Community Development at Erasmus","Brooklyn","K465","360","382","359","63.2","1101"
"300","High School for Service and Learning at Erasmus","Brooklyn","K465","377","382","356","45.5","1115"
"301","Academy of Hospitality and Tourism","Brooklyn","K465","374","385","375","62","1134"
"302","James Madison High School","Brooklyn","K425","492","450","444","69","1386"
"303","Edward R. Murrow High School","Brooklyn","K525","500","479","472","75.2","1451"
"304","Brooklyn Secondary School for Collaborative Studies","Brooklyn","K142","401","411","404","","1216"
"305","Sunset Park High School","Brooklyn","K564","398","380","381","61.6","1159"
"306","Brooklyn Collegiate (College Board)","Brooklyn","K055","394","395","399","64.4","1188"
"307","Gotham Professional Arts Academy","Brooklyn","K040","377","396","386","50.7","1159"
"308","Leon M. Goldstein High School for the Sciences","Brooklyn","K535","563","534","543","94","1640"
"309","Abraham Lincoln High School","Brooklyn","K410","441","422","422","54.9","1285"
"310","William E. Grady Career and Technical Education High School","Brooklyn","K620","416","423","387","31.4","1226"
"311","Urban Action Academy","Brooklyn","K500","362","396","393","44.9","1151"
"312","Brooklyn Generation School","Brooklyn","K515","392","406","403","50","1201"
"313","High School for Medical Professions","Brooklyn","K500","404","427","424","60.2","1255"
"314","High School for Innovation in Advertising and Media","Brooklyn","K500","390","410","397","59.1","1197"
"315","Victory Collegiate High School","Brooklyn","K515","386","408","402","72.7","1196"
"316","Brooklyn Theatre Arts High School","Brooklyn","K515","379","393","373","69.1","1145"
"317","Academy for Conservation and the Environment","Brooklyn","K515","381","397","390","50.8","1168"
"318","All City Leadership Secondary School","Brooklyn","K554","467","446","448","85","1361"
"319","Bushwick School for Social Justice","Brooklyn","K480","365","357","357","50","1079"
"320","Academy for Environmental Leadership","Brooklyn","K480","365","366","348","71.3","1079"
"321","Academy of Urban Planning","Brooklyn","K480","392","374","379","41.9","1145"
"322","ACORN Community High School","Brooklyn","K909","379","395","385","61.3","1159"
"323","Flushing High School","Queens","Q460","444","407","405","","1256"
"324","East-West School of International Studies","Queens","Q237","521","457","451","89.4","1429"
"325","Flushing International High School","Queens","Q189","481","323","323","67.7","1127"
"326","World Journalism Preparatory (College Board)","Queens","Q025","484","491","487","89.2","1462"
"327","Bayside High School","Queens","Q405","523","479","485","76.7","1487"
"328","Benjamin N. Cardozo High School","Queens","Q415","563","505","510","75.6","1578"
"329","Francis Lewis High School","Queens","Q430","562","483","485","80.7","1530"
"330","Queens School of Inquiry","Queens","Q168","516","493","486","88.2","1495"
"331","Robert F. Kennedy Community High School","Queens","Q707","460","426","423","67.3","1309"
"332","John Bowne High School","Queens","Q425","467","422","425","62.1","1314"
"333","Townsend Harris High School","Queens","Q515","680","640","661","97.1","1981"
"334","High School for Arts and Business","Queens","Q456","413","405","393","76.7","1211"
"335","Civic Leadership Academy","Queens","Q744","435","424","418","68.9","1277"
"336","Maspeth High School","Queens","Q585","476","471","480","90","1427"
"337","Pan American International High School","Queens","Q744","340","320","318","31.9","978"
"338","Newtown High School","Queens","Q455","434","401","389","39.1","1224"
"339","Forest Hills High School","Queens","Q440","517","485","483","72.8","1485"
"340","Queens Metropolitan High School","Queens","Q686","460","448","449","76.4","1357"
"341","Grover Cleveland High School","Queens","Q485","452","422","416","38.9","1290"
"342","Humanities and Arts Magnet High School","Queens","Q490","384","409","401","","1194"
"343","Mathematics, Science Research, and Technology Magnet High School","Queens","Q490","380","418","388","54.9","1186"
"344","Pathways College Preparatory School (College Board)","Queens","Q192","405","427","409","72.4","1241"
"345","Excelsior Preparatory High School","Queens","Q420","384","407","400","70.1","1191"
"346","Preparatory Academy for Writers (College Board)","Queens","Q420","398","410","393","69.5","1201"
"347","Queens Preparatory Academy","Queens","Q420","423","422","403","83.7","1248"
"348","George Washington Carver High School for the Sciences","Queens","Q420","439","428","419","63.5","1286"
"349","High School for Construction Trades, Engineering, and Architecture","Queens","Q650","489","457","451","78.9","1397"
"350","John Adams High School","Queens","Q480","418","401","395","38.4","1214"
"351","Robert H. Goddard High School of Communication Arts and Technology","Queens","Q202","426","435","424","85.1","1285"
"352","Richmond Hill High School","Queens","Q475","413","406","399","37.9","1218"
"353","Cambria Heights Academy","Queens","Q799","418","424","411","58.5","1253"
"354","Queens High School of Teaching, Liberal Arts, and the Sciences","Queens","Q566","453","434","439","72.4","1326"
"355","Martin Van Buren High School","Queens","Q435","397","396","391","40","1184"
"356","Queens Gateway to Health Sciences Secondary School","Queens","Q695","524","511","514","92.5","1549"
